y,x,z
4.150510955,1.36,0.0353895
4.150510955,2.44,0.0440555
4.150510955,1.695,0.0527215
4.076693982,-0.035,0.06171945
4.076693982,-0.185,0.07104935
4.076693982,0.05,0.08037925
4.025415693,-0.235,0.0899546
4.025395328,0.135,0.0997755
4.025395328,0.12,0.1095965
3.991066213,-0.83,0.119589
3.991066213,-0.365,0.129753
3.991066213,-0.01,0.139917
3.963794883,0.325,0.1502215
3.963890627,0.665,0.160666
3.963794883,-0.22,0.1711105
3.967920183,-0.975,0.181534
3.967920183,-0.36,0.191936
3.967920183,-0.965,0.202338
3.92926165,-1.01,0.212945
3.929169164,0.63,0.2237575
3.92926165,0.775,0.23457
3.875603415,0.345,0.24568
3.875603415,-0.08,0.257088
3.875515761,-0.775,0.2684965
3.828016137,-0.875,0.280183
3.827932557,-0.09,0.2921475
3.828016137,-0.53,0.304112
3.810040918,-0.815,0.3161845
3.809958826,-0.5,0.328366
3.810040918,-0.28,0.3405475
3.764230156,-0.32,0.353014
3.764308578,-0.785,0.3657655
3.764230156,-1.215,0.378517
3.748976942,-1,0.391367
3.748899713,-0.295,0.4043155
3.748899713,0.045,0.4172645
3.771865884,-0.76,0.4300665
3.771944908,-0.785,0.442721
3.771865884,0.15,0.4553755
3.7578983,-0.21,0.4681195
3.7578983,-0.68,0.4809525
3.7578983,-0.19,0.4937855
3.72826309,-0.97,0.5068115
3.72826309,-1.605,0.5200305
3.728187444,-0.605,0.53325
3.728111804,0.45,0.5464705
3.728187444,0.98,0.559691
3.728111804,-0.035,0.5729115
3.754630832,0.315,0.5859595
3.754708505,0.265,0.598834
3.754630832,-0.84,0.6117085
3.780038263,0.325,0.624422
3.780038263,1.22,0.636974
3.779958597,0.625,0.6495265
3.696398561,-0.345,0.6626265
3.696398561,-0.785,0.6762735
3.696398561,-0.62,0.6899205
3.635355921,-0.56,0.703997
3.635424861,-0.725,0.7185025
3.635424861,-1.2,0.7330075
3.62889675,-1.175,0.74756
3.62889675,-0.505,0.76216
3.62889675,-0.13,0.77676
3.701320156,0.08,0.79085
3.701393797,0.175,0.8044295
3.701393797,0.295,0.8180085
3.764465441,0.75,0.8311725
3.764387007,1.055,0.843922
3.764465441,1.335,0.8566715
3.697571668,0.235,0.8698615
3.697571668,-0.22,0.8834925
3.697498308,-0.41,0.897124
3.628348954,-0.245,0.911244
3.628280501,-0.055,0.9258525
3.628280501,-0.85,0.9404615
3.606344749,-0.61,0.9552325
3.606411717,-0.65,0.970165
3.606344749,-0.185,0.9850975
3.613535882,-0.01,0.999977
3.613940658,-0.42,1.0148
3.613940658,-0.695,1.02962
3.639916145,-0.405,1.04425
3.640608905,0.565,1.058685
3.640608905,0.675,1.073115
3.616643363,-0.195,1.08772
3.616643363,-0.775,1.1025
3.616643363,-0.04,1.11728
3.607215683,0.09,1.13213
3.607215683,0.505,1.14705
3.607215683,0.325,1.16197
3.654565866,-0.62,1.176545
3.654565866,0.295,1.190775
3.653863372,0.98,1.20501
3.648261117,0.955,1.21929
3.647563036,0.17,1.233615
3.647563036,0.02,1.247945
3.597212266,0.475,1.262645
3.597876056,0.32,1.27771
3.597212266,0.055,1.292775
3.596548916,-0.23,1.30785
3.596548916,0.465,1.32293
3.595886005,0.725,1.338015
3.607886149,0.555,1.353015
3.607886149,0.36,1.367925
3.607215683,0.69,1.38284
3.633702801,1.22,1.397565
3.633702801,0.36,1.412095
3.633014806,-0.095,1.42663
3.519980918,-0.25,1.44204
3.519980918,-0.59,1.45832
3.519980918,-0.575,1.4746
3.53358657,0.295,1.49077
3.534209429,0.055,1.506825
3.534209429,-0.625,1.522875
3.537954751,-0.43,1.538895
3.537954751,-0.405,1.554885
3.537954751,0.315,1.570875
3.524289942,-0.01,1.586975
3.524289942,-0.44,1.603185
3.524289942,0.14,1.619395
3.490923183,-0.455,1.63588
3.490326702,-0.995,1.652645
3.490326702,-0.055,1.669415
3.494509559,-0.255,1.68615
3.493910936,-0.41,1.702855
3.493910936,0.385,1.719565
3.483788789,-0.23,1.73636
3.483196547,-0.685,1.753245
3.483196547,-0.335,1.770135
3.483196547,-0.005,1.787025
3.483196547,0.325,1.803915
3.482604656,-0.43,1.82081
3.455173698,-0.58,1.837945
3.455173698,-0.395,1.855315
3.455173698,-1.015,1.872685
3.509592801,-0.32,1.889595
3.508985083,-0.355,1.90605
3.509592801,0.365,1.922505
3.496307581,0.895,1.939065
3.496307581,0.005,1.955735
3.496307581,-0.185,1.972405
3.474941784,-0.1,1.989255
3.474354757,-0.06,2.00629
3.474354757,-0.515,2.02333
3.436353639,-0.905,2.0407
3.435788826,-0.55,2.058405
3.435788826,-0.47,2.076115
3.463846779,0.35,2.09358
3.463266228,0.46,2.110805
3.463846779,-0.72,2.12803
3.456325772,-0.15,2.145315
3.456325772,-0.1,2.162665
3.455749569,-0.49,2.18002
3.404110712,-0.68,2.19784
3.403563816,-0.75,2.216125
3.404110712,-0.47,2.23441
3.477293343,0.2,2.26054
3.477293343,0.58,2.286025
3.448860908,-0.025,2.30326
3.449433154,-0.09,2.320735
3.448860908,-0.94,2.33821
3.312188002,-1.73,2.35697
3.312687129,-1.02,2.377005
3.312188002,-0.73,2.39704
3.366005753,-0.885,2.416555
3.366005753,-1.455,2.435545
3.366005753,-1.375,2.454535
3.36864219,-0.39,2.4735
3.36864219,-0.325,2.49244
3.368114347,-0.64,2.511385
3.421214577,-0.235,2.529845
3.420658249,-0.145,2.54782
3.420658249,0.235,2.5658
3.433532762,0.405,2.583665
3.434096301,0.2,2.60141
3.433532762,-0.13,2.619155
3.448288989,-0.2,2.636775
3.448860908,0.61,2.65426
3.448288989,0.47,2.671745
3.412350253,-0.05,2.689555
3.412350253,-0.375,2.707685
3.411798834,-0.38,2.72582
3.433532762,-0.54,2.743765
3.432969541,0.205,2.76152
3.433532762,1.09,2.779275
3.48675527,0.85,2.796565
3.486161269,0.86,2.8134
3.48675527,0.46,2.830235
3.496907641,0.665,2.84698
3.496307581,1.22,2.863645
3.496907641,1.12,2.88031
3.413454006,0.58,2.897695
3.413454006,-0.3,2.915805
3.413454006,-0.82,2.933915
3.415111923,-0.215,2.95201
3.415665174,0.43,2.970085
3.415111923,-0.025,2.98816
3.364953122,-0.625,3.006705
3.364427221,-0.46,3.02572
3.364427221,-0.26,3.04474
3.401924919,-0.205,3.06341
3.40247092,0.125,3.081725
3.401924919,0.06,3.10004
3.427354703,0.3,3.11813
3.427634697,0.95,3.144915
3.373405364,-0.095,3.172195
3.372875001,-1.185,3.19105
3.372875001,-1.105,3.20991
3.303740747,-0.34,3.229445
3.304235674,-0.1,3.24965
3.304235674,-1.29,3.26985
3.333878638,-0.645,3.289755
3.334388712,-0.135,3.30936
3.333878638,-0.895,3.328965
3.347742788,-0.175,3.34844
3.347225859,-0.005,3.367785
3.347225859,-1.075,3.387135
3.317692144,-0.725,3.406775
3.318194026,-0.145,3.4267
3.318194026,-0.36,3.44662
3.345160809,-0.31,3.466275
3.345676672,-0.1,3.48566
3.345160809,0.22,3.505045
3.385682006,-0.29,3.52405
3.386219208,0.155,3.542665
3.385682006,0.75,3.56128
3.369698715,-0.07,3.58005
3.369698715,-0.065,3.59897
3.370227396,-0.255,3.617885
3.396481247,0.125,3.63655
3.397024283,0.845,3.654965
3.397024283,0.47,3.673375
3.411247718,0.395,3.691655
3.411798834,0.825,3.7098
3.411247718,0.005,3.727945
3.421214577,0.17,3.746005
3.420658249,1.31,3.76398
3.421214577,-0.155,3.781955
3.36075364,-0.25,3.800485
3.361277612,0.575,3.81957
3.36075364,0.17,3.838655
3.345676672,-0.22,3.85789
3.345676672,-0.81,3.87727
3.345676672,-0.1,3.89665
3.347225859,0.3,3.916015
3.346709196,-0.32,3.93537
3.346709196,-0.355,3.95473
3.336942992,-0.3,3.974185
3.336942992,-0.005,3.993735
3.337454632,-0.08,4.01328
3.371285597,-0.575,4.032495
3.371285597,0.095,4.051385
3.371285597,0.795,4.070275
3.363901597,-0.175,4.089235
3.363901597,-0.135,4.108265
3.363901597,0.855,4.127295
3.349813182,0.115,4.14646
3.350331451,-0.505,4.165755
3.349813182,-0.18,4.18505
3.356050209,0.28,4.20429
3.356050209,-0.535,4.22347
3.356571721,-0.45,4.242645
3.381394754,0.99,4.26158
3.381394754,0.555,4.28028
3.381929657,0.58,4.298975
3.346192801,0.44,4.318005
3.346192801,-0.755,4.337375
3.346709196,-0.515,4.35674
3.335409641,0.145,4.37621
3.335920497,0.165,4.395785
3.335920497,-0.14,4.415355
3.34052998,-0.61,4.43488
3.341043459,-0.275,4.454355
3.34052998,0.84,4.47383
3.385145094,0.47,4.492885
3.385682006,0.195,4.51151
3.385145094,0.04,4.530135
3.310193983,-0.55,4.54949
3.309696099,-0.6,4.569575
3.310193983,-0.395,4.58966
3.33285927,0.085,4.609515
3.332349975,0.215,4.62915
3.33285927,-0.145,4.648785
3.335409641,-0.285,4.66839
3.335409641,-0.085,4.68797
