ztop,Temperature,AgeAICC
0,,
0.55,,
1.1,,
1.65,,
2.2,,
2.75,,
3.3,,
3.85,,
4.4,,
4.95,,
5.5,,
6.05,,
6.6,0.88,31.0565
7.15,1.84,39.7225
7.7,3.04,48.3885
8.25,0.35,57.0545
8.8,-0.42,66.3844
9.35,0.05,75.7143
9.9,0.05,85.0442
10.45,-0.52,94.865
11,0.79,104.686
11.55,-0.55,114.507
12.1,-1.11,124.671
12.65,0.38,134.835
13.2,-0.4,144.999
13.75,1.05,155.444
14.3,0.28,165.888
14.85,-0.72,176.333
15.4,-1.23,186.735
15.95,0.51,197.137
16.5,-2.44,207.539
17.05,0.42,218.351
17.6,0.84,229.164
18.15,0.71,239.976
18.7,-0.02,251.384
19.25,-0.14,262.792
19.8,-1.41,274.201
20.35,-0.34,286.165
20.9,0.16,298.13
21.45,-1.22,310.094
22,-0.41,322.275
22.55,-0.59,334.457
23.1,0.03,346.638
23.65,-0.67,359.39
24.2,-0.9,372.141
24.75,-1.53,384.893
25.3,-0.47,397.841
25.85,-0.12,410.79
26.4,0.21,423.739
26.95,-1.73,436.394
27.5,0.16,449.048
28.05,0.14,461.703
28.6,-0.56,474.536
29.15,-0.8,487.369
29.7,0.42,500.202
30.25,-2.36,513.421
30.8,-0.85,526.64
31.35,-0.36,539.86
31.9,1.26,553.081
32.45,0.7,566.301
33,-0.77,579.522
33.55,1.4,592.397
34.1,-0.87,605.271
34.65,-0.81,618.146
35.2,1.46,630.698
35.75,0.98,643.25
36.3,0.27,655.803
36.85,-0.96,669.45
37.4,-0.61,683.097
37.95,-0.63,696.744
38.5,-0.49,711.25
39.05,-0.96,725.755
39.6,-1.44,740.26
40.15,-0.91,754.86
40.7,-0.1,769.46
41.25,-0.16,784.06
41.8,0.32,797.64
42.35,0.03,811.219
42.9,0.56,824.798
43.45,0.94,837.547
44,1.17,850.297
44.55,1.5,863.046
45.1,-1.03,876.677
45.65,0.59,890.308
46.2,-1.41,903.94
46.75,0.92,918.548
47.3,-1.03,933.157
47.85,-0.67,947.766
48.4,-0.55,962.699
48.95,-0.75,977.631
49.5,0.38,992.564
50.05,-0.4,1007.39
50.6,-0.44,1022.21
51.15,-0.95,1037.03
51.7,0.14,1051.47
52.25,0.99,1065.9
52.8,0.36,1080.33
53.35,-0.75,1095.11
53.9,-0.8,1109.89
54.45,0.72,1124.67
55,-0.54,1139.59
55.55,1.55,1154.51
56.1,-0.9,1169.43
56.65,-0.34,1183.66
57.2,0.93,1197.89
57.75,1.03,1212.13
58.3,0.88,1226.45
58.85,-0.54,1240.78
59.4,0.58,1255.11
59.95,0.37,1270.18
60.5,0.27,1285.24
61.05,-0.16,1300.31
61.6,-0.3,1315.39
62.15,1.23,1330.47
62.7,0.22,1345.56
63.25,0.89,1360.47
63.8,-0.17,1375.38
64.35,1.55,1390.3
64.9,0.89,1404.83
65.45,-0.17,1419.36
66,-0.02,1433.9
66.55,-0.48,1450.18
67.1,-0.7,1466.46
67.65,-0.45,1482.74
68.2,1.04,1498.8
68.75,-0.93,1514.85
69.3,-0.32,1530.9
69.85,-0.54,1546.89
70.4,-0.27,1562.88
70.95,0.9,1578.87
71.5,-0.92,1595.08
72.05,0.04,1611.29
72.6,0.24,1627.5
