y,x,z
4.024721489,0,-0.0410658
4.024721489,0,-0.0231974
3.994534884,0,-0.005055195
3.99453597,0,0.013360805
3.960378514,0,0.03209675
3.960383762,0,0.0511526
3.928391237,0,0.07051815
3.92839632,-0.405,0.0901934
3.860569724,-0.395,0.110559
3.860617217,0.19,0.1316145
3.837982893,-0.295,0.1529105
3.838029326,-1.395,0.174447
3.704358641,-1.465,0.197523
3.704358641,-0.92,0.222139
3.75139336,-0.485,0.2461895
3.75135078,-0.35,0.269675
3.706107,-0.615,0.2937045
3.706107,-0.26,0.3182775
3.787198155,0.78,0.3418935
3.787198155,0.84,0.3645525
3.710634386,0.265,0.388113
3.710634386,0.05,0.412575
3.611177946,-0.58,0.438316
3.611214957,-1.235,0.4653355
3.502831516,-1.5,0.493901
3.502831516,-1.255,0.524013
3.535540532,-0.75,0.5536405
3.535574846,-0.31,0.582783
3.56062697,-0.1,0.6115645
3.560662156,-0.705,0.639985
3.42657673,-1.385,0.670444
3.42657673,-1.195,0.702942
3.477322772,-0.475,0.734636
3.477322772,-0.135,0.765526
3.453522787,-0.475,0.796788
3.453491176,-0.78,0.8284225
3.431110347,-0.475,0.8604155
3.431141258,-0.21,0.892766
3.426730597,-0.265,0.9251875
3.426730597,-0.545,0.9576805
3.394331009,-0.43,0.9907085
3.394122468,0.11,1.024275
3.389664146,-0.28,1.05792
3.38936763,-0.74,1.091645
3.357850577,-0.46,1.125915
3.357850577,-0.46,1.160725
3.292791508,-1.065,1.196705
3.292791508,-1.56,1.233855
3.282081901,-1.02,1.271205
3.282348248,-0.035,1.30875
3.362168995,0.14,1.34485
3.361880519,-0.09,1.379515
3.330086754,-0.08,1.414745
3.329807386,-0.245,1.45054
3.263611719,-0.73,1.487565
3.263350315,-0.98,1.52582
3.215880316,-1.145,1.56501
3.215631095,-1.42,1.605135
3.198583122,-1.195,1.64561
3.198583122,-0.97,1.68643
3.191503878,-1.135,1.727395
3.191260658,-1.225,1.76851
3.182543896,-1.1,1.80981
3.182543896,-0.745,1.85129
3.245990117,-0.19,1.891495
3.245733279,-0.065,1.93043
3.220877828,-0.365,1.96986
3.220877828,-0.415,2.00978
3.203248569,-0.455,2.050055
3.203248569,-0.57,2.090685
3.166046211,-0.78,2.132085
3.166046211,-0.84,2.174255
3.196380747,-0.305,2.215795
3.196380747,0.64,2.256705
3.222632874,0.09,2.297085
3.222632874,-1.21,2.336935
3.11316537,-1.085,2.37909
3.112940474,-0.68,2.423555
3.180617113,-0.165,2.46657
3.180617113,0.015,2.50813
3.119483081,-0.815,2.551
3.119709453,-0.765,2.595175
3.169609584,-0.095,2.63827
3.16937163,-0.605,2.680295
3.039475197,-1.58,2.72524
3.039266276,-1.29,2.773105
3.161314714,-0.015,2.818225
3.161314714,0.1,2.860595
3.083907964,-0.86,2.90467
3.083907964,-1.375,2.95045
3.059311255,-1.07,2.9968
3.059311255,-0.49,3.04372
3.107781777,-0.39,3.08953
3.108005516,-0.305,3.134225
3.135454217,0.035,3.17831
3.135454217,-0.14,3.22179
3.083252871,-0.52,3.266435
3.083252871,-0.455,3.312245
3.101759678,-0.215,3.357635
3.101982073,0.045,3.4026
3.129949616,0.195,3.44694
3.129720914,-0.37,3.490665
3.034473102,-0.905,3.53658
3.034681024,-0.3,3.584675
3.141914784,0.475,3.63032
3.141914784,0.615,3.67352
3.123338398,0.305,3.717125
3.123111203,-0.3,3.76114
3.048711198,-0.545,3.80686
3.048711198,-0.23,3.85428
3.079766269,-0.115,3.900975
3.07954876,-0.445,3.94695
3.027635823,-0.695,3.994155
3.027635823,-0.74,4.042585
3.013285433,-0.83,4.091365
3.013081912,-1,4.1405
2.991541069,-1.045,4.190175
2.991740252,-0.765,4.24038
3.075858318,0.01,4.288555
3.076075026,0.84,4.3347
3.162495491,1.13,4.37893
3.162495491,1.13,4.42125
3.159663965,1.13,4.46363
3.159663965,1.13,4.50607
3.146555163,1.005,4.54879
