Depth,deltaTS,Ageaicc
0,0,-50
1,0,-32.1316
2,0,-14.2632
3,0,4.15281
4,0,22.5688
5,0,41.6247
6,0,60.6805
7,0,80.3558
8,-0.81,100.031
9,0.02,121.087
10,0.36,142.142
11,-0.95,163.679
12,-1.84,185.215
13,-1.09,209.831
14,-0.75,234.447
15,-0.22,257.932
16,-0.48,281.418
17,-0.75,305.991
18,0.23,330.564
19,1.33,353.223
20,0.35,375.882
21,0.18,400.344
22,-0.08,424.806
23,-1.08,451.826
24,-1.39,478.845
25,-1.61,508.957
26,-0.9,539.069
27,-0.6,568.212
28,-0.02,597.354
29,-0.18,625.775
30,-1.23,654.195
31,-1.54,686.693
32,-0.85,719.191
33,-0.1,750.081
34,-0.17,780.971
35,-0.78,812.605
36,-0.78,844.24
37,-0.17,876.591
38,-0.25,908.941
39,-0.28,941.434
40,-0.81,973.927
41,-0.05,1007.49
42,0.27,1041.06
43,-0.83,1074.78
44,-0.65,1108.51
45,-0.27,1143.32
46,-0.65,1178.13
47,-1.48,1215.28
48,-1.64,1252.43
49,-0.4,1289.98
50,0.33,1327.52
51,-0.05,1362.18
52,-0.13,1396.85
53,-0.03,1432.64
54,-0.46,1468.44
55,-1,1506.69
56,-0.96,1544.95
57,-1.33,1585.07
58,-1.51,1625.2
59,-0.88,1666.02
60,-1.06,1706.84
61,-1.21,1747.95
62,-1.24,1789.07
63,-0.96,1830.55
64,-0.53,1872.03
65,0.15,1910.96
66,-0.28,1949.9
67,-0.45,1989.82
68,-0.38,2029.74
69,-0.53,2070.37
70,-0.61,2111
71,-0.95,2153.17
72,-0.73,2195.34
73,0.12,2236.25
74,1.16,2277.16
75,-0.98,2317.01
76,-1.44,2356.86
77,-0.73,2401.32
78,-0.63,2445.79
79,0.3,2487.35
80,-0.27,2528.91
81,-1.36,2573.09
82,-0.17,2617.26
83,-0.02,2659.28
84,-1.19,2701.31
85,-1.97,2749.17
86,-0.61,2797.04
87,0.58,2839.41
88,-0.38,2881.78
89,-1.34,2927.56
90,-1.41,2973.34
91,-0.73,3020.26
92,-0.25,3067.18
93,-0.53,3111.88
94,-0.08,3156.57
95,0.15,3200.05
96,-0.43,3243.53
97,-0.61,3289.34
98,-0.3,3335.15
99,-0.13,3380.12
100,0.22,3425.08
101,0.17,3468.8
102,-0.91,3512.53
103,-0.9,3560.63
104,0.3,3608.72
105,0.65,3651.92
106,0.58,3695.12
107,0.03,3739.13
108,-0.63,3783.15
109,-0.46,3830.57
110,0,3877.99
111,-0.23,3923.96
112,-0.66,3969.94
113,-0.73,4018.37
114,-0.75,4066.8
115,-0.91,4115.93
116,-1.09,4165.07
117,-1,4215.28
118,-0.53,4265.48
119,0.55,4311.63
120,1.13,4357.77
121,1.13,4400.09
122,1.13,4442.41
123,1.13,4484.85
124,1.13,4527.29
125,0.88,4570.29
126,0.2,4613.28
127,-0.33,4660.34
128,-0.88,4707.39
129,-0.58,4757.21
130,0.25,4807.04
131,0,4853.62
132,-1.14,4900.21
133,-0.66,4950.99
134,-0.36,5001.78
135,-0.66,5051.08
136,0.13,5100.38
137,0.18,5147.15
138,-0.38,5193.92
139,-0.22,5242.54
140,0.28,5291.16
141,0.1,5337.97
142,0.08,5384.79
143,0.5,5431.28
144,0.5,5477.77
145,0.2,5524.13
146,0.02,5570.49
147,0.08,5618.09
148,0.03,5665.69
149,-0.06,5713.6
150,-0.15,5761.52
151,-0.25,5810.24
152,-0.22,5858.96
153,0.15,5907.09
154,0.45,5955.22
155,-0.13,6002.66
156,-0.73,6050.1
157,-0.21,6100.11
158,0.32,6150.12
159,-0.17,6198.02
160,-0.33,6245.91
161,0.09,6294.64
162,0.28,6343.38
163,-0.55,6392.21
164,-1.59,6441.04
165,-1.09,6495.09
166,-0.31,6549.13
167,-0.62,6599.44
168,-0.65,6649.75
169,0.37,6698.81
170,0.37,6747.86
171,-0.36,6796.38
172,-0.84,6844.89
173,-1.28,6897.94
174,-1.14,6950.98
175,-0.58,7003.22
176,-0.59,7055.46
177,-1.05,7107.61
178,-1.2,7159.75
179,-0.63,7212.32
180,0.02,7264.9
181,-0.04,7313.82
182,-0.11,7362.73
183,-0.29,7412.45
184,-0.81,7462.16
185,-0.58,7514.02
186,0.02,7565.87
187,-0.03,7614.94
188,0.48,7664
189,-0.02,7712.22
190,0.02,7760.44
191,-0.04,7809.71
192,-0.72,7858.99
193,-0.57,7910.93
194,-0.9,7962.88
195,-0.93,8016.05
196,-0.69,8069.23
197,-0.54,8121.16
198,-0.64,8173.09
199,0.3,8223.17
200,2.06,8273.26
201,0.59,8317.57
202,-0.87,8361.88
203,-0.78,8414.84
204,-0.55,8467.79
205,-0.21,8518.84
206,-0.26,8569.88
207,-0.52,8620.96
208,-0.65,8672.04
209,-0.68,8724.3
210,-0.73,8776.55
211,-0.56,8828.7
212,0.34,8880.84
213,0.13,8929.35
214,-0.81,8977.85
215,-0.53,9030.08
216,-0.54,9082.3
217,-0.88,9134.67
218,-0.48,9187.03
219,-0.41,9238.23
